,0
303,He's the right pick for the television 
304,1.5 M views in just 5 daysAshneer Grover supremacy 
305,"Thanks Raj!
For the podcast with Ashneer, it has been really a very refined conversation, Loved it "
306,Loved it 
307,Love from Pakistan. Happy to see india rising
308,44:55 best lines convictions and introspection
309,"#RajShamani this interview has been mentioned in the economics times dated 17 feb 2022. Titled Away from the storm, Grover swims with Gen Z in Memeverse.

There is a sentence: In a recent interview with social media creator and investor Raj Shamani, which went viral within days of going live on February 11, Grover spoke about his journey as an entrepreneur."
310,Ashneer Grover is Really Great And Knowledgeable Person....
311,"It is very true, I know what I need to do to upgrade myself but I m not being honest to myself and ignoring what needs to be done.
Before everything, being honest towards yourself should be our first goal, everything aligns straight after that.
really thanks for this wonderful episode guys."
312,LOVE YOU ASHNEER SIR YOU MADE YOUR MAKE 
313,Ashneer is brilliant... I love him
314,Amazing Podcast️
315,Superb session to learn ....very inspiring 
316,"Seedhi Baath No Bakwaas by Ashneer. Real Shark. Waiting for him to start with ""Thoda business ki baat kare"" In the show has different fan base."
317,"Thanks to both of you for such a brilliant insight and I am so happy I invest my time in the right people , I don’t have such knowledgable people around me these podcast are helping me to find people who think better than me I am so thankful"
318,seriously one of the bestest shark he is.....& really loved his way of being so raw & straight forward....i wish ki muze bhi vaise bolne ata...mann to sbka krta hai seedhe bolne ka but bohot kam aise hote hai jo bolte hai aisa & i love that
319,This is first the interview am listing while riding my bike .great talk .
320,Need more entrepreneur like him
321,Ashneer has many qualities of Chanakya  कडवा सच. He is a Great Man 
322,Interview was good. But one negative point about interview is that Raj did not asked about corruption charges levelled against him and his wife.
323,57:00 His brutal honesty is most epic part where he explains why the way he is
324,"Top quality of ashneer grove:-
1. His straight forward
2. Very good observer
3. Say strongly to ""NO"".
4. India's unicorn
5. Real person not diplomatic"
325,"Great learnings. Those who say that Ashneer is not nice, a harsh comment from my side.
'You don't know business!'."
326,"Today I  learn many things from thia guy how to be exact on a point 
Diplomacy is needed but not always"
327,the way he thinks... impressed a lot on for his sorted and simplified concepts.
328,"Sidhi baat, No bakwaas..
As always "
329,"Thanks for bringing him ️
Best podcast ever "
330,"""I am not going to Shark Tank to be an Indian version of an American Shark""... best line by Ashneer ."
331,Good to see a person who has defrauded his own company of millions sit here and enlighten us.
332,Enjoyed or learn so many things thank you ashneer and Raj for making this podcast episode ️️️
333,"One of the best podcasts in recent times very"" succinct"""
334,Bring more hardcore entrepreneur in your channel
335,"Lovely podcast!! Totally enjoyed it and learnt a lot...
A request, please have Aman, Namita and Peyush on your show too️"
336,Bussiness ka language English he lekin dhande k language to hindi... that part was awsm...very honest and straight forward... from the 1st day of shark tank I was observing him now I realise kuch to bat he iss bande peand the main thing is he accepted himself for how he is...Jo kam pe interest nhi he directly he can speak 'no' on the spot and  one thing that I like most that he said  the listener will decide if my word is  bitter or sweet  lv u ashneer sir...
337,He is an iron man his aura is next level one thing he says that he talk less bcz ur words are of great value this is really amazing
338,"Hope it reaches to all youth preparing for govt jobs and remain unemployed, they'll start something, grow, work hard and will no longer be a burden for their family and country"
339,Ashneer seems so calm and patient...
340,The only true Shark we r lucky to have … This guy inspires me frm d moment he opens his mouth 
341,"Whatever he says is genuine, honest and absolutely to the point."
342,It was the best podcast I have listened about business
343,Ashneer has a different fanbase️ A true shark
344,india's entrepreneurship is now on next level ..
345,I love this man. Ashneer has an unmatched persona. I'm sharing this content to correct his image a bit.
346,"Honestly, ashneer grover made SHARK TANK INDIA interesting to watch because his rawness makes us laugh"
347,He is genuine... I think no big entrepreneur start his journey or business by reading books and listening podcast ️
348,One of the best conversation i ever experienced
349,"brilliant guy ashneer, 12% club is an amazing idea, although im not sure about its safety of lending"
350,"First Raj Shamani podcast, I listened in full"
